"X" "Y" "Diameter" "Observer" "Image"
2231.79 -2059.28 12.0564 "Antonenko1" "NAC"
1452.8 -2177.91 12.5677 "Antonenko1" "NAC"
1481.83 -2107.81 12.9309 "Antonenko1" "NAC"
88.3563 -107.333 13.4254 "Antonenko1" "NAC"
3267.21 -2086.24 13.4489 "Antonenko1" "NAC"
1515.7 -1201.94 13.612 "Antonenko1" "NAC"
3668.8 -1805.85 13.7903 "Antonenko1" "NAC"
2033.41 -1973.01 13.9803 "Antonenko1" "NAC"
2464.03 -2091.64 14.1267 "Antonenko1" "NAC"
635.1 -1277.43 14.2999 "Antonenko1" "NAC"
2522.09 -2070.07 14.4815 "Antonenko1" "NAC"
678.646 -2113.21 14.5471 "Antonenko1" "NAC"
1680.2 -975.466 14.7001 "Antonenko1" "NAC"
2057.6 -1962.23 14.8448 "Antonenko1" "NAC"
2643.05 -360.763 14.8565 "Antonenko1" "NAC"
3538.17 -366.155 15.1155 "Antonenko1" "NAC"
3552.68 -85.7646 15.2517 "Antonenko1" "NAC"
451.24 -2145.56 15.2938 "Antonenko1" "NAC"
3068.84 -1805.85 15.2938 "Antonenko1" "NAC"
2275.33 -705.859 15.3611 "Antonenko1" "NAC"
3683.32 -1789.68 15.3695 "Antonenko1" "NAC"
2686.6 -1832.81 15.3745 "Antonenko1" "NAC"
2410.81 -689.683 15.388 "Antonenko1" "NAC"
2188.24 -970.074 15.4065 "Antonenko1" "NAC"
562.524 -2102.42 15.4081 "Antonenko1" "NAC"
1791.49 -1665.66 15.4586 "Antonenko1" "NAC"
1859.23 -15.6669 15.5679 "Antonenko1" "NAC"
1133.46 -58.8039 15.6015 "Antonenko1" "NAC"
3983.3 -1309.78 15.6217 "Antonenko1" "NAC"
306.086 -21.059 15.6402 "Antonenko1" "NAC"
1656.01 -1223.5 15.6537 "Antonenko1" "NAC"
2759.18 -37.2354 15.6722 "Antonenko1" "NAC"
3572.04 -1892.13 15.7159 "Antonenko1" "NAC"
1399.57 -2043.11 15.7411 "Antonenko1" "NAC"
1302.81 -2204.87 15.7865 "Antonenko1" "NAC"
1820.52 -1417.62 15.8067 "Antonenko1" "NAC"
2996.26 -1741.15 15.8151 "Antonenko1" "NAC"
1491.5 -1180.37 15.8219 "Antonenko1" "NAC"
504.462 -2156.34 15.8437 "Antonenko1" "NAC"
2018.9 -1692.62 15.8605 "Antonenko1" "NAC"
3093.03 -1795.07 15.9312 "Antonenko1" "NAC"
3751.06 -1730.36 15.9446 "Antonenko1" "NAC"
2880.14 -1951.44 15.9598 "Antonenko1" "NAC"
1530.21 -500.959 15.9665 "Antonenko1" "NAC"
1433.44 -1778.89 16.0253 "Antonenko1" "NAC"
862.507 -894.584 16.1195 "Antonenko1" "NAC"
741.546 -1455.37 16.1767 "Antonenko1" "NAC"
3992.98 -1951.44 16.2372 "Antonenko1" "NAC"
2028.57 -1778.89 16.3146 "Antonenko1" "NAC"
335.117 -1590.17 16.3146 "Antonenko1" "NAC"
1036.69 -128.902 16.3617 "Antonenko1" "NAC"
3078.51 -1045.56 16.3852 "Antonenko1" "NAC"
1452.8 -608.801 16.4138 "Antonenko1" "NAC"
1288.29 -2107.81 16.4222 "Antonenko1" "NAC"
3441.4 -1956.83 16.4374 "Antonenko1" "NAC"
3383.34 -220.568 16.4525 "Antonenko1" "NAC"
1027.01 -673.507 16.4794 "Antonenko1" "NAC"
625.423 -1417.62 16.4845 "Antonenko1" "NAC"
3543 -1681.83 16.4929 "Antonenko1" "NAC"
1307.64 -2123.99 16.5315 "Antonenko1" "NAC"
2014.06 -463.214 16.5416 "Antonenko1" "NAC"
3141.41 -506.351 16.5786 "Antonenko1" "NAC"
489.947 -1471.54 16.6325 "Antonenko1" "NAC"
1588.27 -2064.68 16.6409 "Antonenko1" "NAC"
185.125 -1476.93 16.6425 "Antonenko1" "NAC"
1428.61 -1002.43 16.6543 "Antonenko1" "NAC"
344.794 -2188.7 16.7031 "Antonenko1" "NAC"
1699.56 -101.941 16.7098 "Antonenko1" "NAC"
3272.05 -479.39 16.8158 "Antonenko1" "NAC"
1883.42 -808.31 16.846 "Antonenko1" "NAC"
3610.74 -624.978 16.8528 "Antonenko1" "NAC"
3126.9 -441.645 16.8612 "Antonenko1" "NAC"
3504.3 -910.76 16.8763 "Antonenko1" "NAC"
2497.9 -1929.87 16.8864 "Antonenko1" "NAC"
2052.76 -1207.33 16.9268 "Antonenko1" "NAC"
2159.21 -1590.17 16.9436 "Antonenko1" "NAC"
364.148 -883.8 16.952 "Antonenko1" "NAC"
1336.67 -1649.48 16.957 "Antonenko1" "NAC"
2986.58 -1838.21 16.9789 "Antonenko1" "NAC"
2744.66 -1838.21 17.0008 "Antonenko1" "NAC"
3968.79 -1816.64 17.0058 "Antonenko1" "NAC"
349.632 -1455.37 17.0361 "Antonenko1" "NAC"
1801.17 -1854.38 17.0848 "Antonenko1" "NAC"
2976.91 -333.803 17.1202 "Antonenko1" "NAC"
3905.89 -10.2748 17.1403 "Antonenko1" "NAC"
189.964 -1644.09 17.1521 "Antonenko1" "NAC"
83.5178 -64.1961 17.1605 "Antonenko1" "NAC"
1496.34 -1002.43 17.1723 "Antonenko1" "NAC"
3117.22 -1708.8 17.2244 "Antonenko1" "NAC"
910.892 -1530.86 17.2766 "Antonenko1" "NAC"
2749.5 -1811.25 17.2867 "Antonenko1" "NAC"
727.031 -1024 17.2984 "Antonenko1" "NAC"
160.933 -1530.86 17.3136 "Antonenko1" "NAC"
1491.5 -1218.11 17.3489 "Antonenko1" "NAC"
1109.27 -1595.56 17.3724 "Antonenko1" "NAC"
